event x0 y0 w_0 w_1 w_2 w_3 w_4 w_5 w_6 w_7 w_8 w_9 w_10 w_11 w_12 w_13 img_0_0 img_0_1 img_0_2 img_0_3 img_0_4 img_0_5 img_0_6 img_0_7 img_0_8 img_0_9 img_1_0 img_1_1 img_1_2 img_1_3 img_1_4 img_1_5 img_1_6 img_1_7 img_1_8 img_1_9 img_2_0 img_2_1 img_2_2 img_2_3 img_2_4 img_2_5 img_2_6 img_2_7 img_2_8 img_2_9 img_3_0 img_3_1 img_3_2 img_3_3 img_3_4 img_3_5 img_3_6 img_3_7 img_3_8 img_3_9 img_4_0 img_4_1 img_4_2 img_4_3 img_4_4 img_4_5 img_4_6 img_4_7 img_4_8 img_4_9 img_5_0 img_5_1 img_5_2 img_5_3 img_5_4 img_5_5 img_5_6 img_5_7 img_5_8 img_5_9 img_6_0 img_6_1 img_6_2 img_6_3 img_6_4 img_6_5 img_6_6 img_6_7 img_6_8 img_6_9 img_7_0 img_7_1 img_7_2 img_7_3 img_7_4 img_7_5 img_7_6 img_7_7 img_7_8 img_7_9 img_8_0 img_8_1 img_8_2 img_8_3 img_8_4 img_8_5 img_8_6 img_8_7 img_8_8 img_8_9 img_9_0 img_9_1 img_9_2 img_9_3 img_9_4 img_9_5 img_9_6 img_9_7 img_9_8 img_9_9
0 2.582720986284298 -2.4306301269327624 0 0 0 0 0 0 0 2659 0 0 0 0 0 0 18 21 48 46 61 69 65 43 28 23 13 39 85 151 153 127 94 65 31 21 37 38 112 284 421 434 229 125 52 23 38 92 148 354 1848 1724 502 196 80 35 42 110 274 951 2816 2542 743 216 81 48 42 82 211 665 1734 1183 266 140 70 34 37 70 132 276 435 382 196 74 37 22 26 41 70 115 147 131 81 65 32 19 18 19 42 46 59 77 49 40 25 18 12 19 13 24 28 28 30 26 18 12
1 -5.084381151074753 -30.183023351733645 0 0 0 0 0 2664 0 0 0 0 0 0 0 0 85 100 69 24 16 8 6 6 0 0 398 241 125 46 29 14 10 9 1 2 1913 861 231 80 31 21 6 4 5 2 6707 1946 361 116 52 19 8 11 2 2 2232 1028 316 110 52 27 15 9 4 1 359 287 160 91 46 28 13 4 6 2 86 82 56 42 25 20 11 10 3 0 22 30 37 36 13 15 12 7 7 3 7 11 16 12 9 10 5 2 2 5 0 2 4 7 5 3 4 5 7 3
2 3.47131548381024 -27.854691464635046 0 0 0 0 0 0 0 2663 0 0 0 0 0 0 373 501 383 153 94 64 29 21 14 10 1094 2529 1284 369 140 75 21 11 11 6 706 5002 2323 460 145 62 32 13 14 13 750 795 483 277 122 58 38 19 9 8 295 362 245 69 47 37 24 21 19 10 99 132 112 78 35 12 15 11 7 9 45 51 50 39 25 17 5 7 6 7 29 29 27 25 21 16 13 2 3 1 18 14 13 12 11 13 9 7 3 1 12 16 12 10 13 10 8 7 2 1
3 -28.22900175523298 -3.5666620244501455 0 2660 0 0 0 0 0 0 0 0 0 0 0 0 6 8 15 6 7 5 3 8 2 2 6 7 9 11 14 11 4 2 6 4 15 16 23 13 13 13 10 6 6 6 31 39 28 33 37 26 12 9 9 9 38 59 71 54 41 41 17 17 9 9 88 154 158 126 97 54 24 22 17 8 78 391 558 336 166 91 44 24 9 14 405 819 1404 926 281 102 46 35 17 10 548 2923 4561 588 266 102 45 20 17 8 362 1034 1533 666 132 47 43 28 20 9
4 2.419467893067995 17.213891022179272 0 0 0 0 0 0 0 2664 0 0 0 0 0 0 4 6 12 8 14 14 24 34 23 18 5 13 17 24 20 31 44 37 29 29 10 7 7 24 51 56 77 89 76 70 6 10 28 21 63 105 186 253 200 123 10 14 26 51 70 118 459 839 514 223 13 15 28 66 131 363 857 2969 1524 391 21 24 36 62 134 412 1861 3371 850 324 3 26 28 48 118 269 710 1002 544 101 10 12 29 34 55 130 225 232 217 112 10 13 16 31 43 66 88 114 80 78
5 -14.74164961413695 -18.17998537066873 0 0 0 0 2662 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 11 3 0 0 0 0 0 0 0 0 95 82 19 2 0 0 0 0 0 0 383 548 330 74 2 0 0 0 0 0 1411 3698 1568 314 66 10 1 0 0 0 1688 5811 2348 439 125 33 12 2 0 0 631 1200 814 294 118 56 25 10 3 0 201 240 226 142 65 36 22 12 5 2 67 83 96 48 36 29 19 14 9 4 29 42 40 36 20 21 11 17 8 6
6 11.134338346697351 1.2391835084593823 0 0 0 0 0 0 0 0 0 2669 0 0 0 0 21 26 17 11 67 107 115 109 56 41 22 29 59 86 61 126 307 240 110 61 23 34 68 166 490 1092 468 345 181 80 15 42 73 204 719 3758 5213 510 77 69 16 39 71 160 468 1475 1922 648 169 23 16 35 54 95 195 352 422 247 132 56 13 32 36 47 88 125 136 117 77 50 10 23 30 32 47 63 72 51 32 28 11 9 17 23 24 35 30 27 22 32 3 8 16 14 19 14 21 14 16 11
7 21.62522052879393 -23.020398423335724 0 0 0 0 0 0 0 0 0 0 0 2665 0 0 112 296 1195 5088 2279 250 126 81 35 27 75 189 547 1200 1017 324 69 38 30 17 61 120 214 309 278 215 82 37 18 8 36 56 81 117 118 78 49 40 19 3 27 24 36 54 41 32 27 19 15 8 19 22 20 37 21 16 15 12 12 7 13 9 15 17 22 12 7 6 5 7 8 8 9 16 5 12 8 4 9 9 9 7 4 7 5 5 9 3 5 3 6 6 5 5 4 7 5 3 4 4
8 21.926644535823513 18.915476883432614 0 0 0 0 0 0 0 0 0 0 0 2665 0 0 9 8 9 8 13 15 51 73 96 132 3 10 12 13 32 34 45 160 315 358 6 6 7 26 26 63 124 261 563 1537 12 10 11 20 27 70 186 582 2691 3259 9 9 12 16 32 50 150 452 1533 2426 6 5 9 19 31 45 91 169 393 492 2 4 11 9 22 37 58 93 128 140 7 6 6 10 17 24 35 63 58 65 2 9 14 12 17 19 17 24 34 27 6 8 5 7 12 14 14 18 14 21
9 -8.766478019052245 -4.9940010257024126 0 0 0 0 0 2666 0 0 0 0 0 0 0 0 12 28 27 27 37 28 23 14 12 8 13 37 46 53 44 39 29 28 19 15 6 44 92 96 108 66 55 34 32 11 67 52 68 234 284 191 95 41 32 9 84 219 518 485 491 289 129 62 31 24 125 329 1400 5783 1898 168 112 56 36 15 120 273 861 2438 1587 389 72 30 27 20 78 158 316 500 364 225 95 43 5 12 57 70 117 165 138 92 77 40 29 8 26 46 54 67 57 53 42 31 18 14
